5	23	275	-12.261	-13.515	52	53	26
5	24	276	-14.641	-11.689	32	33	16
5	25	277	-14.250	-8.715	36	37	18
5	26	278	-11.478	-7.567	40	41	20
5	27	279	-9.098	-9.393	44	45	22
5	28	280	-9.490	-12.367	48	49	24
6	1	393	-8.676	-26.091	4	5	2
6	2	394	-9.067	-29.065	20	21	10
6	3	395	-11.448	-27.239	16	17	8
6	4	396	-11.056	-24.264	12	13	6
6	5	397	-8.284	-23.116	8	9	4
6	6	398	-5.904	-24.943	28	29	14
6	7	399	-6.296	-27.917	24	25	12
6	8	400	-10.273	-18.316	6	7	3
6	9	401	-10.664	-21.290	22	23	11
6	10	402	-13.044	-19.464	18	19	9
6	11	403	-12.653	-16.490	14	15	7
6	12	404	-9.881	-15.341	10	11	5
6	13	405	-7.501	-17.168	30	31	15
6	14	406	-7.893	-20.142	26	27	13
6	15	407	-4.338	-13.045	58	59	29
6	16	408	-4.730	-16.020	54	55	27
6	17	409	-7.110	-14.193	34	35	17
6	18	410	-6.718	-11.219	38	39	19
6	19	411	-3.946	-10.071	42	43	21
6	20	412	-1.566	-11.897	46	47	23
6	21	413	-1.958	-14.872	50	51	25
6	22	414	-2.741	-20.820	56	57	28
6	23	415	-3.133	-23.795	52	53	26
6	24	416	-5.513	-21.968	32	33	16
6	25	417	-5.121	-18.994	36	37	18
6	26	418	-2.349	-17.846	40	41	20
6	27	419	0.031	-19.672	44	45	22
6	28	420	-0.361	-22.647	48	49	24
7	1	141	-15.064	5.009	4	5	2
7	2	142	-15.455	2.035	20	21	10
7	3	143	-17.835	3.861	16	17	8
7	4	144	-17.444	6.835	12	13	6
7	5	145	-14.672	7.983	8	9	4
7	6	146	-12.292	6.157	28	29	14
7	7	147	-12.683	3.183	24	25	12
7	8	148	-16.660	12.784	6	7	3
7	9	149	-17.052	9.810	22	23	11
7	10	150	-19.432	11.636	18	19	9
7	11	151	-19.040	14.610	14	15	7
7	12	152	-16.269	15.758	10	11	5
7	13	153	-13.889	13.932	30	31	15
7	14	154	-14.280	10.958	26	27	13
7	15	155	-10.726	18.054	58	59	29
7	16	156	-11.117	15.080	54	55	27
7	17	157	-13.497	16.906	34	35	17
7	18	158	-13.106	19.881	38	39	19
7	19	159	-10.334	21.029	42	43	21
7	20	160	-7.954	19.202	46	47	23
7	21	161	-8.346	16.228	50	51	25
7	22	162	-9.129	10.279	56	57	28
7	23	163	-9.520	7.305	52	53	26
7	24	164	-11.900	9.131	32	33	16
7	25	165	-11.509	12.106	36	37	18
7	26	166	-8.737	13.254	40	41	20
7	27	167	-6.357	11.428	44	45	22
7	28	168	-6.749	8.453	48	49	24
8	1	169	-3.194	15.550	4	5	2
8	2	170	-3.585	12.576	20	21	10
8	3	171	-5.965	14.402	16	17	8
8	4	172	-5.574	17.376	12	13	6
8	5	173	-2.802	18.524	8	9	4
8	6	174	-0.422	16.698	28	29	14
8	7	175	-0.814	13.724	24	25	12
8	8	176	-4.791	23.325	6	7	3
8	9	177	-5.182	20.351	22	23	11
8	10	178	-7.562	22.177	18	19	9
8	11	179	-7.171	25.151	14	15	7
8	12	180	-4.399	26.299	10	11	5
8	13	181	-2.019	24.473	30	31	15
8	14	182	-2.411	21.499	26	27	13
8	15	183	1.144	28.595	58	59	29
8	16	184	0.753	25.621	54	55	27
8	17	185	-1.627	27.447	34	35	17
8	18	186	-1.236	30.422	38	39	19
8	19	187	1.536	31.570	42	43	21
8	20	188	3.916	29.743	46	47	23
8	21	189	3.524	26.769	50	51	25
8	22	190	2.741	20.820	56	57	28
8	23	191	2.349	17.846	52	53	26
8	24	192	-0.031	19.672	32	33	16
8	25	193	0.361	22.647	36	37	18
8	26	194	3.133	23.795	40	41	20
8	27	195	5.513	21.968	44	45	22
8	28	196	5.121	18.994	48	49	24
9	1	113	-26.933	-5.532	4	5	2
9	2	114	-27.325	-8.506	20	21	10
9	3	115	-29.705	-6.680	16	17	8
9	4	116	-29.313	-3.706	12	13	6
9	5	117	-26.542	-2.557	8	9	4
9	6	118	-24.162	-4.384	28	29	14
9	7	119	-24.553	-7.358	24	25	12
9	8	120	-28.530	2.243	6	7	3
9	9	121	-28.922	-0.731	22	23	11
9	10	122	-31.302	1.095	18	19	9
9	11	123	-30.910	4.069	14	15	7
9	12	124	-28.139	5.217	10	11	5
9	13	125	-25.758	3.391	30	31	15
9	14	126	-26.150	0.417	26	27	13
9	15	127	-22.595	7.514	58	59	29
9	16	128	-22.987	4.539	54	55	27
9	17	129	-25.367	6.366	34	35	17
9	18	130	-24.975	9.340	38	39	19
9	19	131	-22.204	10.488	42	43	21
9	20	132	-19.824	8.662	46	47	23
9	21	133	-20.215	5.687	50	51	25
9	22	134	-20.998	-0.261	56	57	28
9	23	135	-21.390	-3.236	52	53	26
9	24	136	-23.770	-1.409	32	33	16
9	25	137	-23.378	1.565	36	37	18
9	26	138	-20.607	2.713	40	41	20
9	27	139	-18.227	0.887	44	45	22
9	28	140	-18.618	-2.088	48	49	24
10	1	561	18.257	-20.559	4	5	2
10	2	562	17.866	-23.533	20	21	10
10	3	563	15.486	-21.707	16	17	8
10	4	564	15.877	-18.733	12	13	6
10	5	565	18.649	-17.585	8	9	4
10	6	566	21.029	-19.411	28	29	14
10	7	567	20.637	-22.385	24	25	12
10	8	568	16.660	-12.784	6	7	3
10	9	569	16.269	-15.758	22	23	11
10	10	570	13.889	-13.932	18	19	9
10	11	571	14.280	-10.958	14	15	7
10	12	572	17.052	-9.810	10	11	5
10	13	573	19.432	-11.636	30	31	15
10	14	574	19.040	-14.610	26	27	13
10	15	575	22.595	-7.514	58	59	29
10	16	576	22.204	-10.488	54	55	27
10	17	577	19.824	-8.662	34	35	17
10	18	578	20.215	-5.687	38	39	19
10	19	579	22.987	-4.539	42	43	21
10	20	580	25.367	-6.366	46	47	23
10	21	581	24.975	-9.340	50	51	25
10	22	582	24.192	-15.289	56	57	28
10	23	583	23.801	-18.263	52	53	26
10	24	584	21.421	-16.437	32	33	16
10	25	585	21.812	-13.462	36	37	18
10	26	586	24.584	-12.314	40	41	20
10	27	587	26.964	-14.140	44	45	22
10	28	588	26.572	-17.115	48	49	24
11	1	533	6.388	-31.100	4	5	2
11	2	534	5.996	-34.074	20	21	10
11	3	535	3.616	-32.248	16	17	8
11	4	536	4.008	-29.274	12	13	6
11	5	537	6.779	-28.125	8	9	4
11	6	538	9.159	-29.952	28	29	14
11	7	539	8.768	-32.926	24	25	12
11	8	540	4.791	-23.325	6	7	3
11	9	541	4.399	-26.299	22	23	11
11	10	542	2.019	-24.473	18	19	9
11	11	543	2.411	-21.499	14	15	7
11	12	544	5.182	-20.351	10	11	5
11	13	545	7.562	-22.177	30	31	15
11	14	546	7.171	-25.151	26	27	13
11	15	547	10.726	-18.054	58	59	29
11	16	548	10.334	-21.029	54	55	27
11	17	549	7.954	-19.202	34	35	17
11	18	550	8.346	-16.228	38	39	19
11	19	551	11.117	-15.080	42	43	21
11	20	552	13.497	-16.906	46	47	23
11	21	553	13.106	-19.881	50	51	25
11	22	554	12.322	-25.829	56	57	28
11	23	555	11.931	-28.804	52	53	26
11	24	556	9.551	-26.977	32	33	16
11	25	557	9.942	-24.003	36	37	18
11	26	558	12.714	-22.855	40	41	20
11	27	559	15.094	-24.681	44	45	22
11	28	560	14.703	-27.656	48	49	24
12	1	589	30.127	-10.018	4	5	2
12	2	590	29.735	-12.992	20	21	10
12	3	591	27.355	-11.166	16	17	8
12	4	592	27.747	-8.192	12	13	6
12	5	593	30.519	-7.044	8	9	4
12	6	594	32.899	-8.870	28	29	14
12	7	595	32.507	-11.844	24	25	12
12	8	596	28.530	-2.243	6	7	3
12	9	597	28.139	-5.217	22	23	11
12	10	598	25.758	-3.391	18	19	9
12	11	599	26.150	-0.417	14	15	7
12	12	600	28.922	0.731	10	11	5
12	13	601	31.302	-1.095	30	31	15
12	14	602	30.910	-4.069	26	27	13
12	15	603	34.465	3.027	58	59	29
12	16	604	34.073	0.053	54	55	27
12	17	605	31.693	1.879	34	35	17
12	18	606	32.085	4.854	38	39	19
12	19	607	34.857	6.002	42	43	21
12	20	608	37.237	4.175	46	47	23
12	21	609	36.845	1.201	50	51	25
12	22	610	36.062	-4.748	56	57	28
12	23	611	35.670	-7.722	52	53	26
12	24	612	33.290	-5.896	32	33	16
12	25	613	33.682	-2.921	36	37	18
12	26	614	36.453	-1.773	40	41	20
12	27	615	38.834	-3.600	44	45	22
12	28	616	38.442	-6.574	48	49	24
13	1	477	26.933	5.532	4	5	2
13	2	478	26.542	2.558	20	21	10
13	3	479	24.162	4.384	16	17	8
13	4	480	24.553	7.358	12	13	6
13	5	481	27.325	8.506	8	9	4
13	6	482	29.705	6.680	28	29	14
13	7	483	29.313	3.706	24	25	12
13	8	484	25.336	13.307	6	7	3
13	9	485	24.945	10.332	22	23	11
13	10	486	22.565	12.159	18	19	9
13	11	487	22.956	15.133	14	15	7
13	12	488	25.728	16.281	10	11	5
13	13	489	28.108	14.455	30	31	15
13	14	490	27.716	11.481	26	27	13
13	15	491	31.271	18.577	58	59	29
13	16	492	30.880	15.603	54	55	27
13	17	493	28.500	17.429	34	35	17
13	18	494	28.891	20.404	38	39	19
13	19	495	31.663	21.552	42	43	21
13	20	496	34.043	19.725	46	47	23
13	21	497	33.651	16.751	50	51	25
13	22	498	32.868	10.802	56	57	28
13	23	499	32.477	7.828	52	53	26
13	24	500	30.096	9.654	32	33	16
13	25	501	30.488	12.629	36	37	18
13	26	502	33.260	13.777	40	41	20
13	27	503	35.640	11.950	44	45	22
13	28	504	35.248	8.976	48	49	24
14	1	337	17.805	15.811	4	5	2
14	2	338	17.413	12.837	20	21	10
14	3	339	15.033	14.663	16	17	8
14	4	340	15.425	17.638	12	13	6
14	5	341	18.196	18.786	8	9	4
14	6	342	20.576	16.959	28	29	14
14	7	343	20.185	13.985	24	25	12
14	8	344	16.208	23.586	6	7	3
14	9	345	15.816	20.612	22	23	11
14	10	346	13.436	22.438	18	19	9
14	11	347	13.828	25.413	14	15	7
14	12	348	16.599	26.561	10	11	5
14	13	349	18.979	24.734	30	31	15
14	14	350	18.588	21.760	26	27	13
14	15	351	22.143	28.857	58	59	29
14	16	352	21.751	25.882	54	55	27
14	17	353	19.371	27.709	34	35	17
14	18	354	19.762	30.683	38	39	19
14	19	355	22.534	31.831	42	43	21
14	20	356	24.914	30.005	46	47	23
14	21	357	24.523	27.030	50	51	25
14	22	358	23.739	21.082	56	57	28
14	23	359	23.348	18.107	52	53	26
14	24	360	20.968	19.934	32	33	16
14	25	361	21.359	22.908	36	37	18
14	26	362	24.131	24.056	40	41	20
14	27	363	26.511	22.230	44	45	22
14	28	364	26.119	19.255	48	49	24
15	1	29	-24.192	15.289	4	5	2
15	2	30	-24.584	12.314	20	21	10
15	3	31	-26.964	14.140	16	17	8
15	4	32	-26.572	17.115	12	13	6
15	5	33	-23.801	18.263	8	9	4
15	6	34	-21.421	16.437	28	29	14
15	7	35	-21.812	13.462	24	25	12
15	8	36	-25.789	23.063	6	7	3
15	9	37	-26.181	20.089	22	23	11
15	10	38	-28.561	21.915	18	19	9
15	11	39	-28.169	24.890	14	15	7
15	12	40	-25.398	26.038	10	11	5
15	13	41	-23.017	24.212	30	31	15
15	14	42	-23.409	21.237	26	27	13
15	15	43	-19.854	28.334	58	59	29
15	16	44	-20.246	25.360	54	55	27
15	17	45	-22.626	27.186	34	35	17
15	18	46	-22.234	30.160	38	39	19
15	19	47	-19.463	31.308	42	43	21
15	20	48	-17.083	29.482	46	47	23
15	21	49	-17.474	26.508	50	51	25
15	22	50	-18.257	20.559	56	57	28
15	23	51	-18.649	17.585	52	53	26
15	24	52	-21.029	19.411	32	33	16
15	25	53	-20.637	22.385	36	37	18
15	26	54	-17.866	23.533	40	41	20
15	27	55	-15.486	21.707	44	45	22
15	28	56	-15.877	18.733	48	49	24
16	1	197	8.676	26.091	4	5	2
16	2	198	8.284	23.116	20	21	10
16	3	199	5.904	24.943	16	17	8
16	4	200	6.296	27.917	12	13	6
16	5	201	9.067	29.065	8	9	4
16	6	202	11.448	27.239	28	29	14
16	7	203	11.056	24.264	24	25	12
16	8	204	7.079	33.866	6	7	3
16	9	205	6.687	30.891	22	23	11
16	10	206	4.307	32.718	18	19	9
16	11	207	4.699	35.692	14	15	7
16	12	208	7.471	36.840	10	11	5
16	13	209	9.851	35.014	30	31	15
16	14	210	9.459	32.039	26	27	13
16	22	218	14.611	31.361	56	57	28
16	23	219	14.219	28.387	52	53	26
16	24	220	11.839	30.213	32	33	16
16	25	221	12.231	33.187	36	37	18
16	26	222	15.002	34.336	40	41	20
16	27	223	17.382	32.509	44	45	22
16	28	224	16.991	29.535	48	49	24
17	8	372	-22.143	-28.857	6	7	3
17	9	373	-22.534	-31.831	22	23	11
17	10	374	-24.914	-30.005	18	19	9
17	11	375	-24.523	-27.030	14	15	7
17	12	376	-21.751	-25.882	10	11	5
17	13	377	-19.371	-27.709	30	31	15
17	14	378	-19.762	-30.683	26	27	13
17	15	379	-16.208	-23.586	58	59	29
17	16	380	-16.599	-26.561	54	55	27
17	17	381	-18.979	-24.734	34	35	17
17	18	382	-18.588	-21.760	38	39	19
17	19	383	-15.816	-20.612	42	43	21
17	20	384	-13.436	-22.438	46	47	23
17	21	385	-13.828	-25.413	50	51	25
17	22	386	-14.611	-31.361	56	57	28
17	23	387	-15.002	-34.336	52	53	26
17	24	388	-17.382	-32.509	32	33	16
17	25	389	-16.991	-29.535	36	37	18
17	26	390	-14.219	-28.387	40	41	20
17	27	391	-11.839	-30.213	44	45	22
17	28	392	-12.231	-33.187	48	49	24
18	8	512	-7.079	-33.866	6	7	3
18	9	513	-7.471	-36.840	22	23	11
18	10	514	-9.851	-35.014	18	19	9
18	11	515	-9.459	-32.039	14	15	7
18	12	516	-6.687	-30.891	10	11	5
18	13	517	-4.307	-32.718	30	31	15
18	14	518	-4.699	-35.692	26	27	13
18	15	519	-1.144	-28.595	58	59	29
18	16	520	-1.536	-31.570	54	55	27
18	17	521	-3.916	-29.743	34	35	17
18	18	522	-3.524	-26.769	38	39	19
18	19	523	-0.753	-25.621	42	43	21
18	20	524	1.627	-27.447	46	47	23
18	21	525	1.236	-30.422	50	51	25
18	22	526	0.453	-36.370	56	57	28
18	23	527	0.061	-39.345	52	53	26
18	24	528	-2.319	-37.518	32	33	16
18	25	529	-1.927	-34.544	36	37	18
18	26	530	0.844	-33.396	40	41	20
18	27	531	3.224	-35.222	44	45	22
18	28	532	2.833	-38.197	48	49	24
19	1	57	-12.322	25.829	4	5	2
19	2	58	-12.714	22.855	20	21	10
19	3	59	-15.094	24.681	16	17	8
19	4	60	-14.703	27.656	12	13	6
19	5	61	-11.931	28.804	8	9	4
19	6	62	-9.551	26.977	28	29	14
19	7	63	-9.942	24.003	24	25	12
19	8	64	-13.919	33.604	6	7	3
19	9	65	-14.311	30.630	22	23	11
19	10	66	-16.691	32.456	18	19	9
19	11	67	-16.299	35.431	14	15	7
