1	4	1.040	1.140	14.595	1.076
1	5	1.040	4.841	3.436	1.076
1	6	0.925	1.135	13.034	0.870
1	7	0.925	4.419	3.349	0.870
1	8	0.885	1.084	13.060	1.067
1	9	0.885	5.808	2.438	1.067
1	10	0.975	1.174	13.279	0.898
1	11	0.975	5.125	3.043	0.898
1	12	0.892	1.266	11.274	0.823
1	13	0.892	6.399	2.230	0.823
1	14	0.937	1.223	12.255	0.845
1	15	0.937	6.074	2.468	0.845
1	16	0.936	1.184	12.654	1.069
1	17	0.936	4.790	3.127	1.069
1	18	0.853	1.130	12.069	0.940
1	19	0.853	4.420	3.086	0.940
1	20	0.791	1.256	10.080	1.228
1	21	0.791	4.639	2.728	1.228
1	22	0.761	1.180	10.330	1.093
1	23	0.761	4.933	2.470	1.093
1	24	0.937	1.241	12.085	1.144
1	25	0.937	5.806	2.583	1.144
1	26	0.813	1.260	10.321	0.934
1	27	0.813	5.181	2.511	0.934
1	28	0.826	1.208	10.947	1.146
1	29	0.826	5.561	2.377	1.146
1	30	0.767	1.204	10.192	0.986
1	31	0.767	5.553	2.209	0.986
1	32	0.752	1.209	9.959	1.112
1	33	0.752	6.925	1.738	1.112
1	34	0.908	1.174	12.372	1.034
1	35	0.908	5.748	2.527	1.034
1	36	1.044	1.160	14.398	0.857
1	37	1.044	5.491	3.042	0.857
1	38	0.872	1.139	12.243	0.996
1	39	0.872	6.017	2.318	0.996
1	40	0.799	1.153	11.089	1.255
1	41	0.799	6.161	2.076	1.255
1	42	0.813	1.234	10.534	1.054
1	43	0.813	6.743	1.928	1.054
1	44	1.083	1.175	14.739	0.833
1	45	1.083	5.908	2.932	0.833
1	46	0.987	1.143	13.819	0.841
1	47	0.987	4.936	3.199	0.841
1	48	0.972	1.225	12.693	1.028
1	49	0.972	6.790	2.290	1.028
1	50	0.845	1.147	11.792	1.034
1	51	0.845	6.862	1.971	1.034
1	52	0.860	1.184	11.618	0.990
1	53	0.860	6.391	2.152	0.990
1	54	1.060	1.181	14.353	0.992
1	55	1.060	5.919	2.864	0.992
1	56	0.825	1.212	10.894	1.024
1	57	0.825	5.652	2.335	1.024
1	58	0.764	1.188	10.289	1.255
1	59	0.764	5.571	2.194	1.255
2	4	0.986	1.170	13.487	1.033
2	5	0.986	5.591	2.822	1.033
2	6	1.155	1.168	15.830	0.858
2	7	1.155	4.873	3.793	0.858
2	8	0.889	1.228	11.589	1.126
2	9	0.889	7.017	2.028	1.126
2	10	0.873	1.278	10.930	1.020
2	11	0.873	6.126	2.281	1.020
2	12	0.904	1.224	11.812	1.365
2	13	0.904	6.216	2.326	1.365
2	14	0.909	1.114	13.051	0.823
2	15	0.909	5.045	2.883	0.823
2	16	1.048	1.221	13.736	0.866
2	17	1.048	5.243	3.199	0.866
2	18	1.128	1.143	15.796	0.913
2	19	1.128	5.817	3.103	0.913
2	20	0.883	1.185	11.924	0.848
2	21	0.883	4.751	2.973	0.848
2	22	0.822	1.157	11.363	1.079
2	23	0.822	7.622	1.725	1.079
2	24	1.117	1.176	15.193	0.723
2	25	1.117	7.241	2.468	0.723
2	26	1.168	1.305	14.317	0.937
2	27	1.168	7.451	2.508	0.937
2	28	1.004	1.172	13.705	0.988
2	29	1.004	5.166	3.110	0.988
2	30	1.094	1.100	15.920	0.649
2	31	1.094	5.393	3.247	0.649
2	32	0.967	1.091	14.171	1.028
