EVENT_NUMBER	SIZE	DISTANCE	LENGTH	WIDTH	AZWIDTH	MISS	ALPHA
3542	828.128	93.866	51.295	36.93	9773.697	64.587	43.472
3543	771.354	96.905	49.759	34.608	10266.194	68.728	45.154
3544	782.17	96.164	52.474	34.887	10161.991	70.852	47.476
3545	746.032	94.881	51.72	35.421	9976.004	62.803	41.453
3546	803.013	94.839	50.732	35.001	9912.358	65.544	43.709
3547	491.572	328.496	38.847	37.894	108656.851	118.726	21.162
3548	709.154	298.912	52.481	34.36	90600.383	115.084	22.644
3549	878.95	91.368	47.711	32.955	9151.669	64.421	44.83
3550	869.167	89.608	47.734	32.343	8837.617	61.524	43.393
3551	738.641	92.516	52.777	33.781	9474.642	66.785	46.22
3552	920.901	88.977	48.715	32.916	8759.025	60.654	43.0
3553	2256.35	90.012	48.95	33.01	8917.139	65.147	46.386
3554	929.948	91.728	48.405	32.131	9225.472	64.197	44.427
3555	821.188	93.376	52.101	33.426	9625.796	66.359	45.316
3556	739.991	94.655	51.945	35.239	9890.368	67.468	45.48
3557	959.18	92.145	49.718	31.558	9347.759	62.144	42.377
3558	778.643	93.727	52.222	34.185	9699.379	67.268	45.89
3559	965.89	55.2	50.458	34.241	3605.157	54.265	79.42
3560	906.053	89.933	48.939	30.943	8910.1	61.261	42.922
3561	772.387	94.134	52.807	32.82	9778.588	66.684	45.072
3562	1418.172	108.242	94.44	40.047	13090.4	98.107	64.958
3563	793.65	93.297	50.367	36.037	9656.489	60.938	40.768
3564	2267.386	226.881	77.905	36.899	52261.386	221.436	77.422
3565	1414.712	255.153	80.113	38.576	68096.705	62.178	14.123
3566	739.75	93.69	51.577	34.188	9672.497	67.735	46.303
3567	719.532	95.297	52.774	35.538	10078.419	63.774	41.99
3568	759.285	95.468	51.662	35.351	10043.82	67.744	45.235
3569	799.19	95.292	51.936	34.376	10011.441	66.6	44.347
3570	770.732	93.501	52.855	34.934	9706.61	64.948	44.027
3571	735.954	94.261	52.549	34.196	9837.697	64.885	43.472
3572	1110.488	163.683	56.319	31.393	28287.373	34.592	12.181
3573	823.356	95.526	51.946	34.984	10056.218	67.737	45.154
3574	741.078	95.637	51.196	34.377	10060.094	66.818	44.347
3575	817.681	97.598	52.096	34.929	10510.498	63.968	40.92
3576	820.601	298.159	52.776	34.882	90160.252	117.702	23.266
3577	937.258	91.663	48.778	31.466	9206.851	64.727	44.91
3578	1660.777	166.563	86.343	52.155	30971.475	60.435	21.285
3579	918.817	89.624	52.777	33.73	8902.73	68.073	49.464
3580	740.921	95.869	50.767	34.923	10093.741	68.0	45.154
3581	670.459	94.791	53.135	32.898	9916.188	66.814	44.83
3582	539.712	335.837	40.065	36.342	113566.475	125.481	21.963
3583	756.394	93.845	52.502	34.459	9754.78	65.262	44.027
3584	829.737	91.531	52.377	34.239	9282.222	66.808	46.886
3585	4197.929	237.223	151.149	49.24	57933.119	231.696	77.688
3586	758.787	93.09	52.82	33.295	9587.271	66.142	45.316
3587	733.158	95.317	52.468	34.62	9990.284	70.612	47.817
3588	998.139	91.064	48.274	32.891	9118.208	62.969	43.709
3589	1111.307	85.265	45.015	37.965	8172.29	36.977	25.722
3590	2401.937	28.915	100.208	60.202	2795.987	14.107	29.209
3591	894.363	90.162	47.673	31.347	8911.461	63.154	44.427
3592	732.753	96.948	52.836	35.559	10385.691	66.304	43.157
3593	817.794	94.462	52.247	34.823	9867.733	65.988	44.347
3594	451.074	330.216	37.531	36.341	109743.996	42.064	7.296
3595	811.886	95.077	52.481	35.302	9977.045	68.468	46.054
3596	799.054	95.227	51.967	34.765	9990.301	68.087	45.643
3597	704.79	96.987	50.783	35.949	10328.828	68.615	44.991
3598	827.181	237.16	53.531	32.682	56839.151	228.639	74.579
3599	473.897	326.807	40.748	35.363	107624.646	52.409	9.207
3600	772.829	95.548	51.019	33.651	10035.906	65.922	43.63
3601	724.025	94.376	51.784	34.406	9850.716	64.235	42.922
3602	793.314	94.648	50.172	36.064	9882.709	64.946	43.314
3603	492.54	328.828	39.145	38.509	108871.2	299.224	65.505
3604	917.27	92.113	47.903	33.221	9326.713	61.285	41.682
3605	822.505	97.032	52.199	34.904	10341.929	69.817	46.054
3606	3585.595	117.897	104.978	49.248	16742.324	87.68	48.073
3607	880.912	90.588	47.87	32.139	9015.414	62.185	43.314
3608	763.469	94.719	51.956	34.037	9890.888	66.819	44.83
3609	610.828	200.117	52.946	34.402	41422.241	10.981	3.153
3610	667.701	252.787	51.361	34.253	65006.757	133.432	31.87
3611	1441.24	106.557	94.185	39.371	12667.624	97.208	65.783
3612	1589.196	111.21	90.919	38.321	13816.387	97.259	61.045
3613	760.953	95.301	52.901	32.989	10002.466	67.768	45.316
3614	785.426	95.043	51.946	34.22	9964.433	66.14	44.107
3615	771.046	300.14	52.086	34.922	91318.549	116.881	22.892
3616	702.578	164.956	53.414	31.418	27868.353	148.937	64.555
3617	790.553	98.492	52.313	35.264	10639.069	70.681	45.89
3618	755.374	94.665	51.848	33.335	9868.503	66.677	44.749
3619	748.592	92.654	51.076	34.11	9464.966	67.103	46.386
3620	769.447	297.801	53.149	34.405	89959.503	118.19	23.391
3621	769.341	93.979	52.837	33.365	9766.774	65.829	44.427
3622	752.363	318.198	52.388	34.428	101984.1	287.286	64.555
3623	801.428	95.686	50.753	35.444	10103.892	63.525	41.606
3624	2119.287	253.538	73.61	39.12	66831.495	59.964	13.71
3625	1259.576	108.108	93.948	39.06	13025.149	97.985	64.958
3626	748.101	95.892	50.211	37.436	10172.007	61.716	40.091
3627	707.431	167.821	52.093	34.262	28885.037	151.405	64.422
3628	762.762	93.143	49.664	36.345	9590.125	64.002	43.393
3629	803.072	93.262	53.746	33.359	9672.068	63.806	43.157
3630	750.916	98.492	52.371	34.445	10650.039	68.43	44.027
3631	902.246	90.061	47.229	32.985	8917.837	61.712	43.236
3632	493.241	330.704	38.098	37.261	110065.411	282.338	58.649
3633	1764.796	58.067	115.654	33.205	4551.129	53.976	68.435
3634	762.715	92.278	52.892	33.88	9444.591	65.74	45.398
3635	3032.205	199.779	108.635	67.275	42743.787	180.463	64.555
3636	749.784	298.995	53.197	33.965	90673.327	118.114	23.266
3637	1641.669	167.592	85.512	52.443	31266.296	60.463	21.162
3638	791.39	95.764	52.669	34.099	10114.584	67.015	44.427
3639	1350.844	251.156	79.84	39.317	66115.556	45.145	10.37
3640	710.522	97.419	51.979	34.08	10407.489	69.282	45.316
3641	755.778	96.701	52.296	34.184	10288.56	67.621	44.347
3642	743.517	225.447	53.804	34.074	52122.968	88.797	23.204
3643	795.984	95.25	51.242	34.752	9982.591	67.614	45.235
3644	1012.099	92.213	48.036	33.196	9353.811	60.623	41.071
3645	813.508	93.081	50.436	35.5	9591.01	63.148	42.688
3646	804.955	95.566	53.176	33.288	10050.347	69.166	46.386
3647	769.271	92.294	52.65	34.126	9459.08	64.556	44.347
3648	1593.37	167.943	86.208	52.482	31385.408	65.518	22.954
3649	761.692	93.647	52.301	34.349	9725.328	63.721	42.844
3650	801.214	92.223	51.836	33.909	9429.673	63.871	43.868
3651	484.838	334.442	40.175	36.958	112614.908	192.729	35.17
3652	517.559	333.736	39.93	36.248	112148.529	143.395	25.468
3653	737.786	97.244	53.383	33.8	10376.371	71.388	47.223
3654	748.169	95.828	52.586	34.433	10139.129	66.182	43.709
3655	921.198	91.016	46.842	33.275	9117.506	58.124	39.717
3656	475.389	327.579	39.337	36.713	108047.667	183.621	34.125
3657	739.391	93.273	50.944	36.196	9650.008	63.261	42.688
3658	495.343	329.776	39.326	37.859	109522.608	29.397	5.106
3659	842.751	92.667	48.192	31.783	9444.325	58.467	39.124
3660	755.247	94.597	51.584	35.944	9900.131	65.521	43.868
3661	797.24	97.034	51.823	34.152	10350.47	66.938	43.63
3662	1506.704	102.934	92.117	38.131	11875.038	93.26	64.958
3663	893.201	91.755	48.687	32.419	9255.857	62.565	43.0
3664	744.684	95.192	52.565	34.792	10001.963	67.675	45.316
3665	757.977	94.43	51.252	34.151	9813.205	67.407	45.561
3666	726.776	94.304	51.866	34.229	9837.418	64.096	42.844
3667	510.206	334.275	40.36	36.058	112497.503	191.835	35.03
3668	769.159	94.58	51.278	35.239	9902.223	62.886	41.682
3669	699.341	94.243	52.003	34.14	9787.868	67.935	46.137
3670	742.608	96.973	52.988	34.753	10363.179	68.189	44.668
3671	770.298	94.854	50.489	34.933	9871.047	69.656	47.223
3672	746.531	92.905	51.445	33.737	9530.637	65.702	44.991
3673	706.862	96.803	51.521	35.534	10306.514	68.13	44.749
3674	743.476	94.461	51.259	36.465	9881.171	64.665	43.236
3675	780.741	92.461	51.611	35.473	9484.09	64.841	44.507
3676	769.381	95.757	52.057	33.611	10095.016	66.641	44.107
3677	805.127	97.063	51.267	34.299	10326.493	68.862	45.154
3678	771.206	95.912	50.714	34.917	10100.105	68.094	45.235
3679	882.621	88.756	47.939	31.436	8659.572	62.849	45.072
