channel	pmt	cluster	global_number	gain	k_adc	rel_sens	code_per_pe	x	y	cur_count_rate_channel	amplitude	ignore_status
28 6 2 170 1.004 1.172 0.988 13.705 87.06 64.18 14 0 0
29 6 2 170 1.004 5.166 0.988 3.11 87.06 64.18 14 0 0
30 13 2 366 1.094 1.1 0.649 15.92 71.1 141.93 15 0 0
31 13 2 366 1.094 5.393 0.649 3.247 71.1 141.93 15 0 0
32 24 2 674 0.967 1.091 1.028 14.171 90.98 93.93 16 0 0
33 24 2 674 0.967 5.772 1.028 2.68 90.98 93.93 16 0 0
34 17 2 478 0.803 1.081 1.187 11.89 75.01 171.68 17 0 0
35 17 2 478 0.803 5.07 1.187 2.535 75.01 171.68 17 0 0
36 25 2 702 0.942 1.144 0.937 13.171 94.9 123.67 18 0 0
37 25 2 702 0.942 6.013 0.937 2.506 94.9 123.67 18 0 0
38 18 2 506 0.89 1.203 1.057 11.837 78.93 201.42 19 0 0
39 18 2 506 0.89 5.802 1.057 2.453 78.93 201.42 19 0 0
40 26 2 730 0.933 1.28 1.688 11.67 122.61 135.15 20 0 0
41 26 2 730 0.933 6.534 1.688 2.286 122.61 135.15 20 0 0
42 19 2 534 0.892 1.094 0.974 13.041 106.64 212.9 21 0 0
43 19 2 534 0.892 5.583 0.974 2.556 106.64 212.9 21 0 0
44 27 2 758 1.03 1.245 1.188 13.236 146.41 116.89 22 0 0
45 27 2 758 1.03 6.226 1.188 2.646 146.41 116.89 22 0 0
46 20 2 562 0.921 1.14 0.907 12.933 130.44 194.64 23 0 0
47 20 2 562 0.921 5.593 0.907 2.636 130.44 194.64 23 0 0
48 28 2 786 0.896 1.119 0.983 12.806 142.5 87.15 24 0 0
49 28 2 786 0.896 6.344 0.983 2.26 142.5 87.15 24 0 0
50 21 2 590 1.091 1.148 0.848 15.205 126.53 164.9 25 0 0
51 21 2 590 1.091 5.767 0.848 3.027 126.53 164.9 25 0 0
52 23 2 646 0.99 1.072 0.647 14.777 114.78 75.67 26 0 0
53 23 2 646 0.99 4.576 0.647 3.462 114.78 75.67 26 0 0
54 16 2 450 0.902 1.23 1.079 11.726 98.81 153.41 27 0 0
55 16 2 450 0.902 7.646 1.079 1.887 98.81 153.41 27 0 0
56 22 2 618 0.839 1.196 1.156 11.219 118.7 105.41 28 0 0
57 22 2 618 0.839 5.464 1.156 2.456 118.7 105.41 28 0 0
58 15 2 422 0.797 1.135 0.927 11.237 102.73 183.16 29 0 0
59 15 2 422 0.797 5.244 0.927 2.432 102.73 183.16 29 0 0
4 1 3 31 1.193 1.324 1.077 14.414 31.94 -155.5 2 0 0
5 1 3 31 1.193 7.805 1.077 2.445 31.94 -155.5 2 0 0
6 8 3 227 1.05 1.272 1.088 13.197 15.97 -77.75 3 0 0
7 8 3 227 1.05 5.818 1.088 2.886 15.97 -77.75 3 0 0
8 5 3 143 0.99 1.189 1.02 13.327 35.85 -125.76 4 0 0
9 5 3 143 0.99 5.153 1.02 3.075 35.85 -125.76 4 0 0
10 12 3 339 0.83 1.205 0.915 11.023 19.88 -48.01 5 0 0
11 12 3 339 0.83 5.001 0.915 2.656 19.88 -48.01 5 0 0
12 4 3 115 1.081 1.076 0.76 16.071 8.14 -137.24 6 0 0
13 4 3 115 1.081 5.388 0.76 3.209 8.14 -137.24 6 0 0
14 11 3 311 0.834 1.224 1.385 10.909 -7.83 -59.49 7 0 0
15 11 3 311 0.834 6.745 1.385 1.979 -7.83 -59.49 7 0 0
16 3 3 87 1.189 1.235 1.058 15.405 4.22 -166.98 8 0 0
17 3 3 87 1.189 5.97 1.058 3.187 4.22 -166.98 8 0 0
18 10 3 283 1.066 1.132 0.941 15.067 -11.75 -89.23 9 0 0
19 10 3 283 1.066 4.752 0.941 3.591 -11.75 -89.23 9 0 0
20 2 3 59 0.773 1.158 1.22 10.681 28.02 -185.24 10 0 0
21 2 3 59 0.773 5.097 1.22 2.427 28.02 -185.24 10 0 0
22 9 3 255 0.883 1.213 1.086 11.649 12.05 -107.49 11 0 0
23 9 3 255 0.883 5.653 1.086 2.5 12.05 -107.49 11 0 0
24 7 3 199 0.874 1.18 1.282 11.856 55.74 -173.76 12 0 0
25 7 3 199 0.874 5.25 1.282 2.664 55.74 -173.76 12 0 0
26 14 3 395 1.03 1.221 0.961 13.506 39.77 -96.01 13 0 0
27 14 3 395 1.03 4.996 0.961 3.3 39.77 -96.01 13 0 0
28 6 3 171 1.216 1.217 1.011 15.99 59.65 -144.02 14 0 0
29 6 3 171 1.216 7.307 1.011 2.663 59.65 -144.02 14 0 0
30 13 3 367 0.894 1.169 1.271 12.23 43.69 -66.27 15 0 0
31 13 3 367 0.894 5.979 1.271 2.392 43.69 -66.27 15 0 0
32 24 3 675 0.884 1.114 1.053 12.693 63.57 -114.28 16 0 0
33 24 3 675 0.884 4.827 1.053 2.929 63.57 -114.28 16 0 0
34 17 3 479 1.161 1.178 1.025 15.765 47.6 -36.53 17 0 0
35 17 3 479 1.161 5.626 1.025 3.3 47.6 -36.53 17 0 0
36 25 3 703 0.978 1.231 1.176 12.712 67.49 -84.53 18 0 0
37 25 3 703 0.978 5.668 1.176 2.762 67.49 -84.53 18 0 0
38 18 3 507 0.91 1.176 1.019 12.377 51.52 -6.78 19 0 0
39 18 3 507 0.91 5.465 1.019 2.664 51.52 -6.78 19 0 0
40 26 3 731 1.184 1.113 0.805 17.02 95.2 -73.05 20 0 0
41 26 3 731 1.184 4.939 0.805 3.837 95.2 -73.05 20 0 0
42 19 3 535 1.099 1.112 0.823 15.807 79.23 4.7 21 0 0
43 19 3 535 1.099 5.413 0.823 3.247 79.23 4.7 21 0 0
44 27 3 759 0.974 1.18 1.18 13.208 119.0 -91.31 22 0 0
45 27 3 759 0.974 5.335 1.18 2.921 119.0 -91.31 22 0 0
46 20 3 563 0.948 1.164 1.329 13.04 103.03 -13.56 23 0 0
47 20 3 563 0.948 5.857 1.329 2.59 103.03 -13.56 23 0 0
48 28 3 787 0.945 1.13 1.268 13.377 115.09 -121.06 24 0 0
49 28 3 787 0.945 6.203 1.268 2.437 115.09 -121.06 24 0 0
50 21 3 591 1.133 1.113 0.977 16.282 99.12 -43.31 25 0 0
51 21 3 591 1.133 5.281 0.977 3.432 99.12 -43.31 25 0 0
52 23 3 647 0.829 1.177 1.296 11.273 87.37 -132.54 26 0 0
53 23 3 647 0.829 5.994 1.296 2.213 87.37 -132.54 26 0 0
54 16 3 451 0.916 1.09 0.822 13.445 71.4 -54.79 27 0 0
55 16 3 451 0.916 4.706 0.822 3.114 71.4 -54.79 27 0 0
56 22 3 619 1.098 1.204 0.887 14.59 91.29 -102.79 28 0 0
57 22 3 619 1.098 6.072 0.887 2.892 91.29 -102.79 28 0 0
58 15 3 423 0.875 1.203 0.998 11.632 75.32 -25.05 29 0 0
59 15 3 423 0.875 4.876 0.998 2.87 75.32 -25.05 29 0 0
4 1 4 32 0.836 1.248 1.152 10.721 150.64 -50.09 2 0 0
