29	141	113	85	57	197	169
225	337	309	281	253	393	365
141	29	113	253	393	169	673
337	225	309	365	477	791	651
113	29	141	85	253	565	593
309	225	337	281	203	175	651
85	29	113	57	733	761	593
281	225	309	253	537	565	203
57	29	85	197	761	510	538
253	225	141	113	281	393	565
197	29	57	169	311	283	538
393	225	141	253	365	673	701
169	29	141	197	673	645	311
365	225	337	393	477	701	449
673	141	393	169	701	645	617	0
477	337	365	505	449	421	791
701	393	365	673	729	449	617	0
505	477	533	421	763	791	64
729	701	757	589	449	617	86	0
533	505	561	421	282	64	204
757	729	785	617	86	58	507	0
561	533	589	421	114	282	254
785	757	645	617	339	479	507	0
589	729	561	449	421	114	86
645	169	673	785	617	339	311	0
449	365	477	701	729	589	421
617	673	701	729	757	785	645
421	477	505	533	561	589	449
30	142	114	86	58	198	170
226	338	310	282	254	394	366
142	30	114	254	394	170	674
338	226	310	366	478	792	652
114	561	589	30	142	86	254
310	226	338	282	204	176	652
86	729	757	589	30	114	58
282	533	561	226	310	254	204
58	757	30	86	198	507	535
254	561	226	142	114	282	394
198	30	58	170	535	312	284
394	226	142	254	366	674	702
170	30	142	198	674	646	312
366	226	338	394	478	702	450
674	142	394	170	702	646	618
478	338	366	506	450	422	792
702	394	366	674	730	450	618
506	478	534	422	764	792	72
730	702	758	590	450	618	98
534	506	562	422	294	72	212
758	730	786	618	508	98	70
562	534	590	422	126	294	266
786	758	646	618	340	480	508
590	730	562	450	422	126	98
646	170	674	786	618	340	312
450	366	478	702	730	590	422
618	674	702	730	758	786	646
422	478	506	534	562	590	450
31	143	115	87	59	199	171
227	339	311	283	255	395	367
143	31	115	255	395	171	675
339	785	645	227	311	367	479
115	31	143	87	255	566	594
311	197	169	645	227	339	283
87	31	115	59	734	762	594
283	197	227	311	255	538	566
59	31	87	199	762	347	319
255	227	143	115	283	395	566
199	31	59	171	347	487	515
395	227	143	255	367	675	703
171	31	143	199	675	647	515
367	227	339	395	479	703	451
675	143	395	171	703	647	619
479	785	339	367	507	451	423
703	395	367	675	731	451	619
507	757	785	58	479	535	423
731	703	759	591	451	619	88
535	58	198	507	563	423	284
759	731	787	619	88	60	318
563	535	591	423	116	284	256
787	759	647	619	318	290	543
591	731	563	451	423	116	88
647	171	675	787	619	515	543
451	367	479	703	731	591	423
619	675	703	731	759	787	647
423	479	507	535	563	591	451
32	144	116	88	60	200	172
228	340	312	284	256	396	368
144	32	116	256	396	172	676
340	786	646	228	312	368	480
116	563	591	32	144	88	256
312	198	170	646	228	340	284
88	731	759	591	32	116	60
284	198	535	563	228	312	256
60	759	32	88	200	346	318
256	563	228	144	116	284	396
200	32	60	172	346	486	514
396	228	144	256	368	676	704
172	32	144	200	676	648	514
368	228	340	396	480	704	452
676	144	396	172	704	648	620
480	786	340	368	508	452	424
704	396	368	676	732	452	620
508	758	786	480	536	424	70
732	704	760	592	452	620	97
536	508	564	424	293	70	210
760	732	788	620	320	97	69
